Plate,Well,Sample,Target,CT,Quantity,log10Q
4,C2,A Stand,A,31.73008728,4000,3.602059991
5,C1,A Stand,A,31.47536469,4000,3.602059991
5,C2,A Stand,A,32.5470314,4000,3.602059991
6,C1,A Stand,A,31.15292168,4000,3.602059991
6,C2,A Stand,A,30.93586731,4000,3.602059991
7,C1,A Stand,A,31.62598991,4000,3.602059991
7,C2,A Stand,A,31.08201408,4000,3.602059991
8,C1,A Stand,A,31.68095779,4000,3.602059991
8,C2,A Stand,A,31.02279282,4000,3.602059991
9,C1,A Stand,A,33.0331459,4000,3.602059991
9,C2,A Stand,A,31.41797638,4000,3.602059991
10,C1,A Stand,A,,4000,3.602059991
10,C2,A Stand,A,31.19397354,4000,3.602059991
11,C1,A Stand,A,31.91910362,4000,3.602059991
11,C2,A Stand,A,31.53317261,4000,3.602059991
12,C1,A Stand,A,31.61126328,4000,3.602059991
12,C2,A Stand,A,31.67532349,4000,3.602059991
13,C1,A Stand,A,32.44955444,4000,3.602059991
13,C2,A Stand,A,33.32940292,4000,3.602059991
14,C1,A Stand,A,31.78551674,4000,3.602059991
14,C2,A Stand,A,31.24236679,4000,3.602059991
15,C1,A Stand,A,31.97065163,4000,3.602059991
15,C2,A Stand,A,32.18950653,4000,3.602059991
16,C1,A Stand,A,,4000,3.602059991
16,C2,A Stand,A,33.44907761,4000,3.602059991
17,C1,A Stand,A,32.94480133,4000,3.602059991
17,C2,A Stand,A,32.53696442,4000,3.602059991
18,C1,A Stand,A,33.71831894,4000,3.602059991
18,C2,A Stand,A,33.06485748,4000,3.602059991
19,C1,A Stand,A,33.66449356,4000,3.602059991
19,C2,A Stand,A,32.46047592,4000,3.602059991
20,C1,A Stand,A,32.88562393,4000,3.602059991
20,C2,A Stand,A,33.68605804,4000,3.602059991
21,C1,A Stand,A,32.59034729,4000,3.602059991
21,C2,A Stand,A,31.69046783,4000,3.602059991
22,C1,A Stand,A,31.80490685,4000,3.602059991
22,C2,A Stand,A,31.65545273,4000,3.602059991
23,C1,A Stand,A,32.90780258,4000,3.602059991
23,C2,A Stand,A,33.41508102,4000,3.602059991
24,C1,A Stand,A,30.84902763,4000,3.602059991
24,C2,A Stand,A,31.37309265,4000,3.602059991
25,C1,A Stand,A,32.26447678,4000,3.602059991
25,C2,A Stand,A,31.85339165,4000,3.602059991
26,C1,A Stand,A,32.58865738,4000,3.602059991
26,C2,A Stand,A,31.3915081,4000,3.602059991
27,C1,A Stand,A,31.75898933,4000,3.602059991
27,C2,A Stand,A,30.87732124,4000,3.602059991
28,C1,A Stand,A,31.20725632,4000,3.602059991
28,C2,A Stand,A,30.72457886,4000,3.602059991
29,C1,A Stand,A,31.45299911,4000,3.602059991
29,C2,A Stand,A,32.4213829,4000,3.602059991
30,C1,A Stand,A,31.94776154,4000,3.602059991
30,C2,A Stand,A,31.15973473,4000,3.602059991
31,C1,A Stand,A,33.42922974,4000,3.602059991
31,C2,A Stand,A,31.53701019,4000,3.602059991
32,C1,A Stand,A,32.61257935,4000,3.602059991
32,C2,A Stand,A,30.98838997,4000,3.602059991
33,C1,A Stand,A,32.41233826,4000,3.602059991
33,C2,A Stand,A,32.57556152,4000,3.602059991
34,C1,A Stand,A,32.52481079,4000,3.602059991
34,C2,A Stand,A,31.81236267,4000,3.602059991
35,C1,A Stand,A,Undetermined,4000,3.602059991
35,C2,A Stand,A,Undetermined,4000,3.602059991
2,D3,B Stand,B,,4000,3.602059991
2,D4,B Stand,B,36.77761078,4000,3.602059991
3,D3,B Stand,B,,4000,3.602059991
3,D4,B Stand,B,35.93375778,4000,3.602059991
4,C3,B Stand,B,35.7862854,4000,3.602059991
4,C4,B Stand,B,35.16074753,4000,3.602059991
5,C3,B Stand,B,35.19448471,4000,3.602059991
5,C4,B Stand,B,34.66220856,4000,3.602059991
6,C3,B Stand,B,36.14852905,4000,3.602059991
6,C4,B Stand,B,35.74467468,4000,3.602059991
7,C5,B Stand,B,35.63780212,4000,3.602059991
7,C6,B Stand,B,36.35118103,4000,3.602059991
8,C3,B Stand,B,36.26599121,4000,3.602059991
8,C4,B Stand,B,36.05111313,4000,3.602059991
9,C3,B Stand,B,34.87828445,4000,3.602059991
9,C4,B Stand,B,35.65820313,4000,3.602059991
10,C3,B Stand,B,35.56298065,4000,3.602059991
10,C4,B Stand,B,34.86975098,4000,3.602059991
11,C3,B Stand,B,33.86553574,4000,3.602059991
11,C4,B Stand,B,34.73741913,4000,3.602059991
12,C3,B Stand,B,35.57680511,4000,3.602059991
12,C4,B Stand,B,35.17969131,4000,3.602059991
13,C3,B Stand,B,Undetermined,4000,3.602059991
13,C4,B Stand,B,Undetermined,4000,3.602059991
14,C3,B Stand,B,,4000,3.602059991
14,C4,B Stand,B,36.29000473,4000,3.602059991
15,C3,B Stand,B,37.20020294,4000,3.602059991
15,C4,B Stand,B,,4000,3.602059991
16,C3,B Stand,B,,4000,3.602059991
16,C4,B Stand,B,36.76413345,4000,3.602059991
17,C3,B Stand,B,,4000,3.602059991
17,C4,B Stand,B,37.32223511,4000,3.602059991
18,C3,B Stand,B,36.23455429,4000,3.602059991
18,C4,B Stand,B,36.28016663,4000,3.602059991
19,C3,B Stand,B,,4000,3.602059991
19,C4,B Stand,B,,4000,3.602059991
20,C3,B Stand,B,37.9012146,4000,3.602059991
20,C4,B Stand,B,38.00942612,4000,3.602059991
21,C3,B Stand,B,36.42581558,4000,3.602059991
21,C4,B Stand,B,37.24753952,4000,3.602059991
22,C3,B Stand,B,35.77648926,4000,3.602059991
22,C4,B Stand,B,35.78134918,4000,3.602059991
23,C3,B Stand,B,35.53066635,4000,3.602059991
23,C4,B Stand,B,35.93361664,4000,3.602059991
24,C3,B Stand,B,36.9257164,4000,3.602059991
24,C4,B Stand,B,36.18881607,4000,3.602059991
25,C3,B Stand,B,,4000,3.602059991
25,C4,B Stand,B,34.7631073,4000,3.602059991
26,C3,B Stand,B,34.96233749,4000,3.602059991
26,C4,B Stand,B,35.8131752,4000,3.602059991
27,C3,B Stand,B,36.01992798,4000,3.602059991
27,C4,B Stand,B,35.27528763,4000,3.602059991
28,C3,B Stand,B,35.64219666,4000,3.602059991
28,C4,B Stand,B,35.65078735,4000,3.602059991
29,C3,B Stand,B,34.73153687,4000,3.602059991
29,C4,B Stand,B,34.95559692,4000,3.602059991
30,C3,B Stand,B,35.60418701,4000,3.602059991
